Vktgs,wind_speed,gravi_fts,elev_stick,elron_stick,rudder_stick,elev_surf,ailrn_surf,ruddr_surf,"nwhel,steer",trim,flap,pitch,roll,hding,"   alpha,__deg ","   _beta,__deg ","   hpath,__deg ","   vpath,__deg ","   _slip,__deg ","   __alt,ftmsl ","   ___on,runwy ","   _dist,___ft ","   thro1,_part ","   power,_1,hp "
107.2081243,27.59913233,32.13948,-0.01144,-0.02947,0.00191,0.055377625,-0.01885,0.004782375,0.01908,-0.23616,0,-4.868510064,5.489619654,261.5466295,-1.696220784,-0.050222789,253.9906161,-3.854839585,-0.007309151,2313.644252,0,103704.9396,0.68235,87.8747637
107.1925521,27.59630162,32.13948349,-0.011673723,-0.02947,0.00191,0.055203487,-0.018846512,0.004823954,0.01908,-0.23616,0,-4.873402805,5.375688337,261.6297425,-1.696513493,-0.049093253,254.0867319,-3.860544664,-0.003508596,2312.437294,0,103722.8313,0.683717452,88.18908315
107.1774762,27.59332668,32.13949,-0.011491309,-0.02947,0.00191,0.055558065,-0.01884,0.004864061,0.01908,-0.23616,0,-4.879334793,5.260534632,261.7120851,-1.697738428,-0.047883798,254.1820027,-3.866374444,0.000271109,2311.215403,0,103740.9185,0.68627,88.76967412
107.1631788,27.59054859,32.13949,-0.01079,-0.02947,0.00191,0.056252313,-0.01884,0.004903583,0.01908,-0.23616,0,-4.884405954,5.145372033,261.7928543,-1.697808729,-0.046726313,254.2752299,-3.872548078,0.003995851,2309.991518,0,103759.0137,0.68627,88.77585554
107.1496063,27.58789607,32.13949638,-0.011631967,-0.02947,0.00191,0.055423547,-0.01884,0.004939136,0.01908,-0.23616,0,-4.889332728,5.030329387,261.8720028,-1.698315797,-0.045554575,254.3665793,-3.878019271,0.007658868,2308.766219,0,103777.092,0.683769612,88.21704904
107.1365408,27.5851425,32.1395,-0.01211,-0.02947,0.00191,0.054900524,-0.01884,0.004976434,0.01908,-0.23616,0,-4.893749995,4.915372338,261.9496277,-1.698428354,-0.044293942,254.4559846,-3.883325879,0.011262789,2307.539423,0,103795.1698,0.68235,87.90051576
107.1240355,27.58216274,32.1395,-0.011612395,-0.02947,0.00191,0.055471583,-0.01884,0.005019708,0.01908,-0.23616,0,-4.89822189,4.800398184,262.0257621,-1.69869392,-0.042845081,254.5434785,-3.888499261,0.01484405,2306.311453,0,103813.2449,0.68235,87.90638237
107.1121416,27.5793397,32.13950834,-0.011998854,-0.02947,0.00191,0.055162852,-0.01884,0.005063364,0.01908,-0.23616,0,-4.90300345,4.6854543,262.1002548,-1.699495629,-0.04143068,254.6290811,-3.893398473,0.018430905,2305.081356,0,103831.3333,0.68235,87.9104539
107.1008547,27.5767155,32.13951,-0.01211,-0.02947,0.00191,0.055119124,-0.018831554,0.005095339,0.01908,-0.23616,0,-4.907895604,4.571632285,262.1724306,-1.700356386,-0.040096635,254.7119206,-3.898371621,0.021970008,2303.860985,0,103849.2522,0.68235,87.91416495
107.0900047,27.57387263,32.13951,-0.01211,-0.02947,0.00191,0.055042951,-0.01883,0.00513482,0.01908,-0.23616,0,-4.911845989,4.457035896,262.2436054,-1.700246263,-0.038636496,254.7934503,-3.903354461,0.025531891,2302.63021,0,103867.293,0.68235,87.91841605
107.0798461,27.57085533,32.13951,-0.01211,-0.02947,0.00191,0.05508792,-0.01883,0.005178613,0.01908,-0.23616,0,-4.915737284,4.342176944,262.3133075,-1.700432027,-0.037146798,254.8732513,-3.907908911,0.02909803,2301.396415,0,103885.3699,0.68235,87.92610348
107.0703311,27.56817023,32.13952,-0.012114924,-0.02947,0.00191,0.055115366,-0.018829928,0.00522029,0.01908,-0.23616,0,-4.919566429,4.227463841,262.3813331,-1.700744707,-0.035810587,254.951067,-3.912236719,0.03267375,2300.16118,0,103903.4331,0.68235,87.92991221
107.0617457,27.56528035,32.13952069,-0.012743372,-0.02947,0.00191,0.054530056,-0.01882,0.005262743,0.01908,-0.23616,0,-4.923427254,4.115345585,262.4460811,-1.701409885,-0.034434287,255.0251578,-3.916166739,0.036150111,2298.953675,0,103921.083,0.68235,87.93726885
107.0554278,27.56307329,32.13952911,-0.012170548,-0.02947,0.00191,0.055145,-0.01882,0.005296438,0.01908,-0.23616,0,-4.92634192,4.02843631,262.4952345,-1.701654178,-0.033381301,255.0813957,-3.919443632,0.03885418,2298.015649,0,103934.7718,0.68235,87.93971178
107.0480009,27.56061602,32.13953,-0.01211,-0.02947,0.00191,0.055157671,-0.01882,0.005334886,0.01908,-0.23616,0,-4.929292607,3.918673955,262.5559509,-1.701523013,-0.032240866,255.1507626,-3.923261147,0.042236123,2296.83058,0,103952.0469,0.68235,87.9462233
107.0403832,27.55763001,32.13953927,-0.01211,-0.02947,0.00191,0.055122195,-0.018810732,0.005377073,0.01908,-0.23616,0,-4.932015603,3.797103958,262.6215625,-1.70123122,-0.030903662,255.2256886,-3.92697682,0.045933893,2295.516471,0,103971.1876,0.685983161,88.77131135
107.0335068,27.55451674,32.13954,-0.010169442,-0.02947,0.00191,0.056922871,-0.01881,0.005420603,0.01908,-0.23616,0,-4.932824333,3.671544808,262.687441,-1.699114989,-0.029539804,255.3007202,-3.930591756,0.049731997,2294.159417,0,103990.9376,0.686210919,88.83317771
107.0275978,27.55142481,32.13954092,-0.011262593,-0.02947,0.00191,0.055332027,-0.01881,0.005463696,0.01908,-0.23616,0,-4.929584053,3.547508342,262.7509765,-1.695313025,-0.028096185,255.3727589,-3.931303636,0.053445083,2292.815387,0,104010.4887,0.68235,87.96565401
107.0222361,27.54837476,32.13955,-0.00952,-0.02947,0.00191,0.05712467,-0.01881,0.005506227,0.01908,-0.23616,0,-4.926685476,3.425533186,262.8115658,-1.693161685,-0.026663608,255.4414775,-3.930432417,0.057055294,2291.493909,0,104029.7067,0.68235,87.97055286
107.0178185,27.54561766,32.13955,-0.009754745,-0.02947,0.00191,0.056927481,-0.018808777,0.005543668,0.01908,-0.23616,0,-4.924471624,3.318321804,262.8634134,-1.692670383,-0.025326168,255.5002496,-3.928376222,0.060222902,2290.331388,0,104046.6264,0.682829271,88.08049087
107.0134349,27.54251617,32.13955251,-0.011276528,-0.02947,0.00191,0.055501017,-0.0188,0.00558006,0.01908,-0.23616,0,-4.923265811,3.203904577,262.9170531,-1.693827963,-0.023833116,255.5609692,-3.925547429,0.063614245,2289.091709,0,104064.6788,0.68528414,88.63874063
